username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
IEEEorg,2017-10-16 06:56,5,5,"#TechFact : In 1961, ANITA (A New Inspiration To Arithmetic/Accounting) was the world's first all-electronic desktop calculator.",,,#TechFact,"919924895240175617",https://twitter.com/IEEEorg/status/919924895240175617
IEEEorg,2017-10-14 03:20,10,18,"Follow IEEEorg on #Instagram to keep the #tech conversation going and to see exclusive content! http:// bit.ly/1OSWYt7 pic.twitter.com/258VXTX3hQ",,,#Instagram #tech,"919145771454283776",https://twitter.com/IEEEorg/status/919145771454283776
IEEEorg,2017-10-13 13:25,15,16,"#RichardBranson and @Virgin joined forces with #HyperloopOne : http:// engt.co/2wTsrVq via @engadget",,@Virgin @engadget,#RichardBranson #HyperloopOne,"918935628179374080",https://twitter.com/IEEEorg/status/918935628179374080
IEEEorg,2017-10-13 12:27,8,9,"Tiny photocells with a special blend of 2D materials could improve photovoltaic arrays: http:// bit.ly/2ygTfk0 via @IEEESpectrum",,@IEEESpectrum,,"918921031477207040",https://twitter.com/IEEEorg/status/918921031477207040
IEEEorg,2017-10-13 11:23,6,7,"A trick known as “crypto-anchoring” could stop future #Equifax -style hacks: http:// bit.ly/2yhGZzZ via @WIRED",,@WIRED,#Equifax,"918904925513400320",https://twitter.com/IEEEorg/status/918904925513400320
IEEEorg,2017-10-13 09:47,6,4,"#Toyota 's #fuelcell big rigs are ready to haul cargo: http:// engt.co/2ylN67U via @engadget",,@engadget,#Toyota #fuelcell,"918880766762684416",https://twitter.com/IEEEorg/status/918880766762684416
IEEEorg,2017-10-13 09:05,4,7,"Researchers designed a #robotic arm that knows #SignLanguage : http:// bit.ly/2hRt7s1",,,#robotic #SignLanguage,"918870196747505665",https://twitter.com/IEEEorg/status/918870196747505665
IEEEorg,2017-10-13 08:46,6,23,"This ceramic pump operates at 1,400*C (2,552*F), and promises cheap and efficient grid storage: http:// bit.ly/2g7IIzm via @techreview",,@techreview,,"918865416012754949",https://twitter.com/IEEEorg/status/918865416012754949
IEEEorg,2017-10-13 08:26,19,43,"#TechHistory : Today in 1884, Greenwich was adopted as the Prime Meridian, making it the International standard for zero degrees longitude.",,,#TechHistory,"918860384324395008",https://twitter.com/IEEEorg/status/918860384324395008
IEEEorg,2017-10-13 07:42,12,10,"Watch two #AI #algorithms learn how to sumo wrestle: http:// bit.ly/2xDhX0Y via @qz",,@qz,#AI #algorithms,"918849308396462085",https://twitter.com/IEEEorg/status/918849308396462085
IEEEorg,2017-10-13 06:44,13,28,"#TechFact : Galileo, launched in 1989, was the first U.S. spacecraft to orbit Jupiter. Galileo entered Jupiter's orbit in 1995. @NASA",,@NASA,#TechFact,"918834714512801795",https://twitter.com/IEEEorg/status/918834714512801795
IEEEorg,2017-10-12 13:23,14,7,"Take an in-depth peek inside #Google 's X lab: http:// theatln.tc/2i7GhRM via @TheAtlantic",,@TheAtlantic,#Google,"918572736947027971",https://twitter.com/IEEEorg/status/918572736947027971
IEEEorg,2017-10-12 12:15,26,23,"China is opening a new #quantum research supercenter: http:// bit.ly/2zic0DX via @PopSci",,@PopSci,#quantum,"918555623582765058",https://twitter.com/IEEEorg/status/918555623582765058
IEEEorg,2017-10-12 11:21,11,17,"The UK got its first ocean-cleaning "Seabin": http:// engt.co/2yhHNXA via @engadget",,@engadget,,"918542035140915202",https://twitter.com/IEEEorg/status/918542035140915202
IEEEorg,2017-10-12 09:39,2,2,"Adding wrinkles to #graphene just got easier: http:// bit.ly/2zi8GbM via @IEEESpectrum",,@IEEESpectrum,#graphene,"918516363945218048",https://twitter.com/IEEEorg/status/918516363945218048
IEEEorg,2017-10-12 09:06,4,5,"Learn about pediatric rehabilitation #robots from IEEE Member Juan Aceros: http:// bit.ly/2ge5ERd @IEEExp",,@IEEExp,#robots,"918508060078936064",https://twitter.com/IEEEorg/status/918508060078936064
IEEEorg,2017-10-12 08:48,13,25,"#TechHistory : Today in 1988, #SteveJobs unveiled the NeXT Computer. Although it wasn't hugely successful, it introduced new #PC features.",,,#TechHistory #SteveJobs #PC,"918503531421847552",https://twitter.com/IEEEorg/status/918503531421847552
IEEEorg,2017-10-12 08:18,14,15,"#Nvidia 's new #driverlesscar #computer crunches 320 trillion operations a second: http:// bit.ly/2i5wPhS via @nvidia",,@nvidia,#Nvidia #driverlesscar #computer,"918495980168908801",https://twitter.com/IEEEorg/status/918495980168908801
IEEEorg,2017-10-12 07:10,9,10,"Joining other #tech giants in the race to build #quantum devices, #Intel is now making chips: http:// bit.ly/2zibC8t via @techreview",,@techreview,#tech #quantum #Intel,"918478869891600387",https://twitter.com/IEEEorg/status/918478869891600387
IEEEorg,2017-10-12 06:52,14,17,"#TechFact : The first high-level #programming language to be designed for a #computer was called Plankalkül, created by Konrad Zuse.",,,#TechFact #programming #computer,"918474336566169600",https://twitter.com/IEEEorg/status/918474336566169600
IEEEorg,2017-10-11 13:31,8,3,"Researchers are smashing efficiency records for photovoltaic cells: http:// bit.ly/2wN4T4J via @ElectrekCo",,@ElectrekCo,,"918212361001070592",https://twitter.com/IEEEorg/status/918212361001070592
IEEEorg,2017-10-11 12:24,5,6,"The revolution in #EV for the masses is on the bus: http:// bit.ly/2xyzDuQ via @Forbes",,@Forbes,#EV,"918195499382996993",https://twitter.com/IEEEorg/status/918195499382996993
IEEEorg,2017-10-11 11:28,20,20,"#Google 's new browser experiment lets you learn about basic #AI : http:// bit.ly/2yh94ch via @verge",,@verge,#Google #AI,"918181409503825920",https://twitter.com/IEEEorg/status/918181409503825920
IEEEorg,2017-10-11 09:15,10,22,"Researchers can now use a #smartphone to see around corners (kind of): http:// bit.ly/2xxApYX via @MIT",,@MIT,#smartphone,"918147937812779008",https://twitter.com/IEEEorg/status/918147937812779008
IEEEorg,2017-10-11 08:36,19,19,"These floating #windturbines could generate huge power: http:// bit.ly/2zfg2gi via @IEEESpectrum . #WindPower #renewables #RenewableEnergy",,@IEEESpectrum,#windturbines #WindPower #renewables #RenewableEnergy,"918138121165950977",https://twitter.com/IEEEorg/status/918138121165950977
IEEEorg,2017-10-11 08:13,6,15,"#TechHistory : Today in 1957, The Jodrell Bank Observatory, with the world’s largest radio telescope, began operation.",,,#TechHistory,"918132335912083457",https://twitter.com/IEEEorg/status/918132335912083457
IEEEorg,2017-10-11 07:41,8,7,"The @USPS is building a #selfdriving mail truck: http:// bit.ly/2g2bJfV via @WIRED",,@USPS @WIRED,#selfdriving,"918124283230003200",https://twitter.com/IEEEorg/status/918124283230003200
IEEEorg,2017-10-11 07:20,6,5,"Time is almost up on entries to the #IEEEMakerProject ! Submit your work today: http:// bit.ly/2srLN1E pic.twitter.com/EC7KlQZUnU",,,#IEEEMakerProject,"918119003880607744",https://twitter.com/IEEEorg/status/918119003880607744
IEEEorg,2017-10-11 06:47,13,22,"#TechFact : @NASA became operational on 1 October 1958, one year after the Soviet Union launched Sputnik 1.",,@NASA,#TechFact,"918110690656833538",https://twitter.com/IEEEorg/status/918110690656833538
IEEEorg,2017-10-10 13:27,2,1,"Looking for new music? A #Facebook #chatbot will help you based on emoji: http:// bit.ly/2yX4TQh via @DigitalTrends .",,@DigitalTrends,#Facebook #chatbot,"917848967920144390",https://twitter.com/IEEEorg/status/917848967920144390
IEEEorg,2017-10-10 12:41,5,12,"The #AudiA8 is full of connected tech: http:// engt.co/2wKIBR6 via @engadget .",,@engadget,#AudiA8,"917837390340870144",https://twitter.com/IEEEorg/status/917837390340870144
IEEEorg,2017-10-10 11:27,8,5,"Myth: busted! #Apple is not slowing down older phones to make way for their newest releases: http:// bit.ly/2i1Xk7z via @TheNextWeb .",,@TheNextWeb,#Apple,"917818766792282112",https://twitter.com/IEEEorg/status/917818766792282112
IEEEorg,2017-10-10 09:38,7,8,"3 necessary steps needed to make #autonomous cars a reality: http:// bit.ly/2y6Q3Kd via @TheNextWeb .",,@TheNextWeb,#autonomous,"917791338422259712",https://twitter.com/IEEEorg/status/917791338422259712
IEEEorg,2017-10-10 09:04,10,8,"Have you ever thought about the role humans play in the development of #AI ? http:// bit.ly/2wYSyyp",,,#AI,"917782780267950080",https://twitter.com/IEEEorg/status/917782780267950080
IEEEorg,2017-10-10 08:22,2,3,"Remember #ProjectJacquard from Google? Well, it has come to fruition - kind of: http:// bit.ly/2ydPYnv via @Gizmodo",,@Gizmodo,#ProjectJacquard,"917772212781965312",https://twitter.com/IEEEorg/status/917772212781965312
IEEEorg,2017-10-10 07:45,6,9,"The #driverlesscar road race is on and it looks like #Porsche is ready to rev up against #Tesla : http:// tcrn.ch/2kCHx01 via @TechCrunch",,@TechCrunch,#driverlesscar #Porsche #Tesla,"917762901729038336",https://twitter.com/IEEEorg/status/917762901729038336
IEEEorg,2017-10-10 07:10,26,50,"#TechHistory #CSS pic.twitter.com/FuEWL0UxHZ",,,#TechHistory #CSS,"917754102083407872",https://twitter.com/IEEEorg/status/917754102083407872
IEEEorg,2017-10-10 06:46,37,48,"#TechFact : IPv6 contains 2^128 individual IP unique addresses or 340,282,366,920,938,463,463,374,607,431,768,211,456.",,,#TechFact,"917748053930541057",https://twitter.com/IEEEorg/status/917748053930541057
IEEEorg,2017-10-09 16:05,8,10,"Are we at the height of #smartphone innovation? http:// on.mash.to/2wIYGqg",,,#smartphone,"917526342861819906",https://twitter.com/IEEEorg/status/917526342861819906
IEEEorg,2017-10-09 14:50,5,7,"The relationship between the #IoT and #ERP has some very real support issues: http:// zd.net/2wImjj5 .",,,#IoT #ERP,"917507466157527042",https://twitter.com/IEEEorg/status/917507466157527042
IEEEorg,2017-10-09 13:30,9,4,"A look into #intelligenttransportation and the strides and gaps made toward #driverlesscar dreams: http:// bit.ly/2y4K9JD .",,,#intelligenttransportation #driverlesscar,"917487334953807873",https://twitter.com/IEEEorg/status/917487334953807873
IEEEorg,2017-10-09 12:55,12,9,"Researchers in Germany are using #Xray technology to learn more about ancient musical instruments: http:// tcrn.ch/2yTHoYz .",,,#Xray,"917478524851810305",https://twitter.com/IEEEorg/status/917478524851810305
IEEEorg,2017-10-09 12:15,7,5,"After 20 years as #AOL 's instant message platform, #AIM will go dark for good on 15 December. http:// engt.co/2fWpTzn",,,#AOL #AIM,"917468462376804353",https://twitter.com/IEEEorg/status/917468462376804353
IEEEorg,2017-10-09 11:00,17,18,"The #FCC approved #Alphabet ’s #ProjectLoon - bringing LTE #tech to Puerto Rico & the US Virgin Islands via balloons http:// bit.ly/2yBtQ7W .",,,#FCC #Alphabet #ProjectLoon #tech,"917449602793660416",https://twitter.com/IEEEorg/status/917449602793660416
IEEEorg,2017-10-09 10:45,2,1,"The clock is ticking - submit to the #IEEEMakerProject today. Don’t miss out on this great opportunity! http:// bit.ly/2xWNABZ",,,#IEEEMakerProject,"917445810882740224",https://twitter.com/IEEEorg/status/917445810882740224
IEEEorg,2017-10-09 08:55,18,27,"#TechHistory : The original #iPod was unveiled 16 years ago this month.",,,#TechHistory #iPod,"917418130468507649",https://twitter.com/IEEEorg/status/917418130468507649
IEEEorg,2017-10-09 08:11,46,87,"We’re advancing technology for humanity. #IEEE #MondayMotivation #quote #Tech #Engineering pic.twitter.com/Dq6eNGAlgu",,,#IEEE #MondayMotivation #quote #Tech #Engineering,"917407069363372032",https://twitter.com/IEEEorg/status/917407069363372032
IEEEorg,2017-10-09 07:34,14,21,"#TechFact : Every day, over a billion hours of video are watched on @YouTube .",,@YouTube,#TechFact,"917397916976861184",https://twitter.com/IEEEorg/status/917397916976861184
IEEEorg,2017-10-06 15:57,35,38,"Students at #MIT have created a #wearable thermostat that adjusts personal body temperature: http:// bit.ly/2xnrpAu .",,,#MIT #wearable,"916437165487415297",https://twitter.com/IEEEorg/status/916437165487415297
IEEEorg,2017-10-06 14:10,6,6,"#3D #tech already plays a role in #construction , and now #Zillow is adding it to its online real estate listings: http:// engt.co/2fXZjcN .",,,#3D #tech #construction #Zillow,"916410238806446081",https://twitter.com/IEEEorg/status/916410238806446081
IEEEorg,2017-10-06 13:23,24,19,"Gesture control #technology might have the potential to make keystrokes a thing of the past: http:// bit.ly/2wBtmKb .",,,#technology,"916398410231697409",https://twitter.com/IEEEorg/status/916398410231697409
IEEEorg,2017-10-06 12:33,8,6,"#Chevy is bringing its hydrogen fuel-cell vehicles to the military: http:// engt.co/2wCcDXl .",,,#Chevy,"916385825167986688",https://twitter.com/IEEEorg/status/916385825167986688
IEEEorg,2017-10-06 11:55,39,61,"#Google ’s new wireless headphones offer more than just audio -- they translate languages in real time: http:// bit.ly/2y4WPQ1 .",,,#Google,"916376264876986368",https://twitter.com/IEEEorg/status/916376264876986368
IEEEorg,2017-10-06 11:10,19,23,"#Boeing and #Uber are working to take on the skies with flying taxis: http:// bit.ly/2xnoQnb .",,,#Boeing #Uber,"916364940411318272",https://twitter.com/IEEEorg/status/916364940411318272
IEEEorg,2017-10-06 10:02,17,18,"#TechHistory : The first patent for technology that would later become photocopying was issued to Chester Carlson on this day in 1942.",,,#TechHistory,"916347825344143362",https://twitter.com/IEEEorg/status/916347825344143362
IEEEorg,2017-10-06 08:55,11,12,"This #robotic arm was created with #3Dprinting and uses one-handed gestures to perform sign language: http:// bit.ly/2hRt7s1 .",,,#robotic #3Dprinting,"916330964527218688",https://twitter.com/IEEEorg/status/916330964527218688
IEEEorg,2017-10-06 07:57,24,39,"#TechFact : The current generation of transatlantic telecommunication cables have latencies as low as 54 milliseconds.",,,#TechFact,"916316366151528448",https://twitter.com/IEEEorg/status/916316366151528448
IEEEorg,2017-10-05 12:40,8,20,"This #drone , with a 360-degree camera, microphone and speaker, was designed for use as a home security system http:// bit.ly/2hSd8tS",,,#drone,"916025199488794624",https://twitter.com/IEEEorg/status/916025199488794624
IEEEorg,2017-10-05 11:45,9,7,"Art meets #AR with this partnership between #Snapchat and Jeff Koons: http:// bit.ly/2fN0YOu .",,,#AR #Snapchat,"916011361167040512",https://twitter.com/IEEEorg/status/916011361167040512
IEEEorg,2017-10-05 10:15,3,8,"#ToysRUs hopes to attract new customers with in-store #AR experiences: http:// engt.co/2fTv9Hy .",,,#ToysRUs #AR,"915988708997959680",https://twitter.com/IEEEorg/status/915988708997959680
IEEEorg,2017-10-05 09:39,17,18,"These #Nissan car seats are equipped with “sweat-sensitive” fabric that is designed alert drivers of dehydration: http:// on.mash.to/2xU7de9 .",,,#Nissan,"915979651197136898",https://twitter.com/IEEEorg/status/915979651197136898
IEEEorg,2017-10-05 09:01,1,3,"Time is running out to submit your work to the #IEEEMakerProject ! http:// bit.ly/1U1SmO5",,,#IEEEMakerProject,"915970089580683265",https://twitter.com/IEEEorg/status/915970089580683265
IEEEorg,2017-10-05 08:36,14,30,"#TechHistory : The first electrically amplified guitar was designed in 1931.",,,#TechHistory,"915963794320498688",https://twitter.com/IEEEorg/status/915963794320498688
IEEEorg,2017-10-05 07:36,6,17,"#TechFact : The average cruise speed of the Concorde aircraft was more than twice the speed of sound (Mach 2.02).",,,#TechFact,"915948694662414336",https://twitter.com/IEEEorg/status/915948694662414336
IEEEorg,2017-10-04 18:15,20,37,"#NASA just gave a big nod to Katherine Johnson, a major milestone for #womeninSTEM : http:// bit.ly/2y345MJ .",,,#NASA #womeninSTEM,"915747119058833408",https://twitter.com/IEEEorg/status/915747119058833408
IEEEorg,2017-10-04 17:30,15,13,"The #FDA has approved a blood monitor that uses a subcutaneous #sensor wire for regular readings versus a needle http:// engt.co/2xUR8lT .",,,#FDA #sensor,"915735798716272640",https://twitter.com/IEEEorg/status/915735798716272640
IEEEorg,2017-10-04 16:40,5,2,"Activity trackers aren’t the only #tech making their way to clothing. This dress responds to the wearer’s heartbeat: http:// bit.ly/2fLNrXu",,,#tech,"915723211807100928",https://twitter.com/IEEEorg/status/915723211807100928
IEEEorg,2017-10-04 15:53,12,14,"Step aside, space! #ElonMusk wants to bring rocket travel to Earth using similar solutions to his #SpaceX endeavors http:// bit.ly/2xgNKou",,,#ElonMusk #SpaceX,"915711382808596485",https://twitter.com/IEEEorg/status/915711382808596485
IEEEorg,2017-10-04 14:55,13,12,"The future of robotics will depend heavily on cloud computing: http:// bit.ly/2gVXhtB",,,,"915696786819485696",https://twitter.com/IEEEorg/status/915696786819485696
IEEEorg,2017-10-04 14:05,29,30,"#TechHistory : Launched on April 11, 1984, the first cell phone sold in the US was the Motorola DynaTAC 8000X and it weighed 2 pounds.",,,#TechHistory,"915684204502974464",https://twitter.com/IEEEorg/status/915684204502974464
IEEEorg,2017-10-04 13:42,49,57,"#TechFact : In 1969, the computers that took Apollo 11 to the moon had less processing power than a toaster with start/stop/defrost buttons.",,,#TechFact,"915678593690284035",https://twitter.com/IEEEorg/status/915678593690284035
IEEEorg,2017-10-03 16:00,9,12,". @MIT_CSAIL researchers are testing out #VR as a method for controlling #robots remotely in manufacturing: http:// tcrn.ch/2xe4i05 .",,@MIT_CSAIL,#VR #robots,"915350753287446528",https://twitter.com/IEEEorg/status/915350753287446528
IEEEorg,2017-10-03 15:00,23,53,"#TechHistory pic.twitter.com/J5MST6mybE",,,#TechHistory,"915335683308322816",https://twitter.com/IEEEorg/status/915335683308322816
